LahmanID,Inducted,By,Ballots,Votes,Pct,Pos,Category
cobbty01,1936,BW,226,222,98.2,CF,Player
johnswa01,1936,BW,226,189,83.6,P,Player
mathech01,1936,BW,226,205,90.7,P,Player
ruthba01,1936,BW,226,215,95.1,RF,Player
wagneho01,1936,BW,226,215,95.1,SS,Player
bulkemo99,1937,VC,,,,,Pioneer/Executive
johnsba99,1937,VC,,,,,Pioneer/Executive
lajoina01,1937,BW,201,168,83.6,2B,Player
mackco01,1937,VC,,,,,Manager
mcgrajo01,1937,VC,,,,,Manager
speaktr01,1937,BW,201,165,82.1,CF,Player
wrighge01,1937,VC,,,,,Pioneer/Executive
youngcy01,1937,BW,201,153,76.1,P,Player
alexape01,1938,BW,262,212,80.9,P,Player
cartwal99,1938,VC,,,,,Pioneer/Executive
chadwhe99,1938,VC,,,,,Pioneer/Executive
ansonca01,1939,VC,,,,1B,Player
collied01,1939,BW,274,213,77.7,2B,Player
comisch01,1939,VC,,,,,Pioneer/Executive
cummica01,1939,VC,,,,,Pioneer/Executive
ewingbu01,1939,VC,,,,C,Player
gehrilo01,1939,BW,,,,1B,Player
keelewi01,1939,BW,274,207,75.5,RF,Player
radboch01,1939,VC,,,,P,Player
sislege01,1939,BW,274,235,85.8,1B,Player
spaldal01,1939,VC,,,,,Pioneer/Executive
hornsro01,1942,BW,233,182,78.1,2B,Player
landike99,1944,VC,,,,,Pioneer/Executive
bresnro01,1945,VC,,,,C,Player
broutda01,1945,VC,,,,1B,Player
clarkfr01,1945,VC,,,,LF,Player
colliji01,1945,VC,,,,3B,Player
delahed01,1945,VC,,,,LF,Player
duffyhu01,1945,VC,,,,CF,Player
jennihu01,1945,VC,,,,SS,Player
kellyki01,1945,VC,,,,RF,Player
o'rouji01,1945,VC,,,,LF,Player
robinwi01,1945,VC,,,,,Manager
burkeje01,1946,VC,,,,LF,Player
chancfr01,1946,VC,,,,1B,Player
chesbja01,1946,VC,,,,P,Player
eversjo01,1946,VC,,,,2B,Player
griffcl01,1946,VC,,,,,Pioneer/Executive
mccarto01,1946,VC,,,,RF,Player
mcginjo01,1946,VC,,,,P,Player
planked01,1946,VC,,,,P,Player
tinkejo01,1946,VC,,,,SS,Player
wadderu01,1946,VC,,,,P,Player
walshed01,1946,VC,,,,P,Player
cochrmi01,1947,BW,161,128,79.5,C,Player
friscfr01,1947,BW,161,136,84.5,2B,Player
grovele01,1947,BW,161,123,76.4,P,Player
hubbeca01,1947,BW,161,140,87,P,Player
pennohe01,1948,BW,121,94,77.7,P,Player
traynpi01,1948,BW,121,93,76.9,3B,Player
brownmo01,1949,VC,,,,P,Player
gehrich01,1949,BW,187,159,85,2B,Player
nichoki01,1949,VC,,,,P,Player
foxxji01,1951,BW,226,179,79.2,1B,Player
ottme01,1951,BW,226,197,87.2,RF,Player
heilmha01,1952,BW,234,203,86.8,RF,Player
wanerpa01,1952,BW,234,195,83.3,RF,Player
barroed99,1953,VC,,,,,Pioneer/Executive
bendech01,1953,VC,,,,P,Player
connoto99,1953,VC,,,,,Umpire
deandi01,1953,BW,264,209,79.2,P,Player
klembi99,1953,VC,,,,,Umpire
simmoal01,1953,BW,264,199,75.4,LF,Player
wallabo01,1953,VC,,,,SS,Player
wrighha01,1953,VC,,,,,Pioneer/Executive
dickebi01,1954,BW,252,202,80.2,C,Player
maranra01,1954,BW,252,209,82.9,SS,Player
terrybi01,1954,BW,252,195,77.4,1B,Player
bakerfr01,1955,VC,,,,3B,Player
dimagjo01,1955,BW,251,223,88.8,CF,Player
hartnga01,1955,BW,251,195,77.7,C,Player
lyonste01,1955,BW,251,217,86.5,P,Player
schalra01,1955,VC,,,,C,Player
vanceda01,1955,BW,251,205,81.7,P,Player
cronijo01,1956,BW,193,152,78.8,SS,Player
greenha01,1956,BW,193,164,85,1B,Player
crawfsa01,1957,VC,,,,RF,Player
mccarjo99,1957,VC,,,,,Manager
wheatza01,1959,VC,,,,LF,Player
careyma01,1961,VC,,,,CF,Player
hamilbi01,1961,VC,,,,CF,Player
fellebo01,1962,BW,160,150,93.8,P,Player
mckecbi01,1962,VC,,,,,Manager
robinja02,1962,BW,160,124,77.5,2B,Player
roushed01,1962,VC,,,,CF,Player
clarkjo01,1963,VC,,,,P,Player
flickel01,1963,VC,,,,RF,Player
ricesa01,1963,VC,,,,RF,Player
rixeyep01,1963,VC,,,,P,Player
applilu01,1964,BW,225,189,84,SS,Player
faberre01,1964,VC,,,,P,Player
galvipu01,1964,VC,,,,P,Player
grimebu01,1964,VC,,,,P,Player
huggimi01,1964,VC,,,,,Manager
keefeti01,1964,VC,,,,P,Player
manushe01,1964,VC,,,,LF,Player
wardjo01,1964,VC,,,,SS,Player
stengca01,1966,VC,,,,,Manager
willite01,1966,BW,302,282,93.4,LF,Player
rickebr01,1967,VC,,,,,Pioneer/Executive
ruffire01,1967,BW,306,266,86.9,P,Player
wanerll01,1967,VC,,,,CF,Player
cuyleki01,1968,VC,,,,RF,Player
gosligo01,1968,VC,,,,LF,Player
medwijo01,1968,BW,283,240,84.8,LF,Player
camparo01,1969,BW,340,270,79.4,C,Player
covelst01,1969,VC,,,,P,Player
hoytwa01,1969,VC,,,,P,Player
musiast01,1969,BW,340,317,93.2,LF,Player
boudrlo01,1970,BW,300,232,77.3,SS,Player
combsea01,1970,VC,,,,CF,Player
frickfo99,1970,VC,,,,,Pioneer/Executive
haineje01,1970,VC,,,,P,Player
bancrda01,1971,VC,,,,SS,Player
becklja01,1971,VC,,,,1B,Player
hafeych01,1971,VC,,,,LF,Player
hoopeha01,1971,VC,,,,RF,Player
kellejo01,1971,VC,,,,LF,Player
marquru01,1971,VC,,,,P,Player
paigesa01,1971,NL,,,,P,Player
weissge99,1971,VC,,,,,Pioneer/Executive
berrayo01,1972,BW,396,339,85.6,C,Player
gibsojo99,1972,NL,,,,C,Player
gomezle01,1972,VC,,,,P,Player
harriwi99,1972,VC,,,,,Pioneer/Executive
koufasa01,1972,BW,396,344,86.9,P,Player
leonabu99,1972,NL,,,,1B,Player
wynnea01,1972,BW,396,301,76,P,Player
youngro01,1972,VC,,,,RF,Player
clemero01,1973,BW,424,393,92.7,RF,Player
evansbi99,1973,VC,,,,,Umpire
irvinmo01,1973,NL,,,,LF,Player
kellyge01,1973,VC,,,,1B,Player
spahnwa01,1973,BW,380,315,82.9,P,Player
welchmi01,1973,VC,,,,P,Player
bellco99,1974,NL,,,,CF,Player
bottoji01,1974,VC,,,,1B,Player
conlojo01,1974,VC,,,,,Umpire
fordwh01,1974,BW,365,284,77.8,P,Player
mantlmi01,1974,BW,365,322,88.2,CF,Player
thompsa01,1974,VC,,,,RF,Player
averiea01,1975,VC,,,,CF,Player
harribu01,1975,VC,,,,,Manager
hermabi01,1975,VC,,,,2B,Player
johnsju99,1975,NL,,,,3B,Player
kinerra01,1975,BW,362,273,75.4,LF,Player
charlos99,1976,NL,,,,1B-CF,Player
connoro01,1976,VC,,,,1B,Player
hubbaca99,1976,VC,,,,,Umpire
lemonbo01,1976,BW,388,305,78.6,P,Player
lindsfr01,1976,VC,,,,3B,Player
roberro01,1976,BW,388,337,86.9,P,Player
bankser01,1977,BW,383,321,83.8,SS,Player
dihigma99,1977,NL,,,,P-OF,Player
lloydjo99,1977,NL,,,,SS,Player
lopezal01,1977,VC,,,,,Manager
rusieam01,1977,VC,,,,P,Player
seweljo01,1977,VC,,,,SS,Player
jossad01,1978,VC,,,,P,Player
macphla99,1978,VC,,,,,Pioneer/Executive
matheed01,1978,BW,379,301,79.4,3B,Player
gileswa99,1979,VC,,,,,Pioneer/Executive
mayswi01,1979,BW,432,409,94.7,CF,Player
wilsoha01,1979,VC,,,,CF,Player
kalinal01,1980,BW,385,340,88.3,RF,Player
kleinch01,1980,VC,,,,RF,Player
snidedu01,1980,BW,385,333,86.5,CF,Player
yawketo99,1980,VC,,,,,Pioneer/Executive
fosteru99,1981,VC,,,,,Manager
gibsobo01,1981,BW,401,337,84,P,Player
mizejo01,1981,VC,,,,1B,Player
aaronha01,1982,BW,415,406,97.8,RF,Player
chandha99,1982,VC,,,,,Pioneer/Executive
jackstr01,1982,VC,,,,SS,Player
robinfr02,1982,BW,415,370,89.2,RF,Player
alstowa01,1983,VC,,,,,Manager
kellge01,1983,VC,,,,3B,Player
maricju01,1983,BW,374,313,83.7,P,Player
robinbr01,1983,BW,374,344,92,3B,Player
aparilu01,1984,BW,403,341,84.6,SS,Player
drysddo01,1984,BW,403,316,78.4,P,Player
ferreri01,1984,VC,,,,C,Player
killeha01,1984,BW,403,335,83.1,1B,Player
reesepe01,1984,VC,,,,SS,Player
brocklo01,1985,BW,395,315,79.7,LF,Player
slaugen01,1985,VC,,,,RF,Player
vaughar01,1985,VC,,,,SS,Player
wilheho01,1985,BW,395,331,83.8,P,Player
doerrbo01,1986,VC,,,,2B,Player
lombaer01,1986,VC,,,,C,Player
mccovwi01,1986,BW,425,346,81.4,1B,Player
dandrra99,1987,VC,,,,3B,Player
hunteca01,1987,BW,413,315,76.3,P,Player
willibi01,1987,BW,413,354,85.7,LF,Player
stargwi01,1988,BW,427,352,82.4,LF,Player
barlial99,1989,VC,,,,,Umpire
benchjo01,1989,BW,447,431,96.4,C,Player
schoere01,1989,VC,,,,2B,Player
yastrca01,1989,BW,447,423,94.6,LF,Player
morgajo02,1990,BW,444,363,81.8,2B,Player
palmeji01,1990,BW,444,411,92.6,P,Player
carewro01,1991,BW,443,401,90.5,2B,Player
jenkife01,1991,BW,443,334,75.4,P,Player
lazzeto01,1991,VC,,,,2B,Player
perryga01,1991,BW,443,342,77.2,P,Player
veeckbi99,1991,VC,,,,,Pioneer/Executive
fingero01,1992,BW,430,349,81.2,P,Player
mcgowbi99,1992,VC,,,,,Umpire
