LahmanID,Inducted,By,Ballots,Votes,Pct,Pos,Category
newhoha01,1992,VC,,,,P,Player
seaveto01,1992,BW,430,425,98.8,P,Player
jacksre01,1993,BW,423,396,93.6,RF,Player
carltst01,1994,BW,455,436,95.8,P,Player
durocle01,1994,VC,,,,,Manager
rizzuph01,1994,VC,,,,SS,Player
ashburi01,1995,VC,,,,CF,Player
dayle99,1995,VC,,,,P-2B-OF,Player
hulbewi99,1995,VC,,,,,Pioneer/Executive
schmimi01,1995,BW,460,444,96.5,3B,Player
willivi01,1995,VC,,,,P,Player
bunniji01,1996,VC,,,,P,Player
fostebi99,1996,VC,,,,P,Player
hanlone01,1996,VC,,,,,Manager
weaveea99,1996,VC,,,,,Manager
foxne01,1997,VC,,,,2B,Player
lasorto01,1997,VC,,,,,Manager
niekrph01,1997,BW,473,380,80.3,P,Player
wellswi99,1997,VC,,,,SS,Player
suttodo01,1998,BW,473,386,81.6,P,Player
dobyla01,1998,VC,,,,OF,Player
davisge01,1998,VC,,,,SS,Player
macphle99,1998,VC,,,,,Pioneer/Executive
brettge01,1999,BW,497,488,98.2,3B,Player
ryanno01,1999,BW,497,491,98.8,P,Player
yountro01,1999,BW,497,385,77.5,SS-CF,Player
fiskca01,2000,BW,499,397,79.6,C,Player
perezto01,2000,BW,499,385,77.2,1B,Player
roganbu99,1998,VC,,,,P,Player
chylane99,1999,VC,,,,,Umpire
cepedor01,1999,VC,,,,,Player
seleefr99,1999,VC,,,,,Manager
willijo99,1999,VC,,,,,Player
andersp01,2000,VC,,,,,Manager
mcphebi01,2000,VC,,,,SS,Player
steartu99,2000,VC,,,,OF,Player
winfida01,2001,BW,515,435,84.5,OF,Player
puckeki01,2001,BW,515,423,82.1,OF,Player
smithoz01,2002,BW,472,433,91.7,SS,Player
