LahmanID,Year,Team,Lg,G,W,L,GS,CG,SH,SV,IP,H,ER,HR,BB,SO,ERA
mitchbo01,1877,CIN,NL,12,6,5,12,11,1,0,100,123,39,0,11,41,3.51
bootham01,1877,CIN,NL,12,1,7,8,6,0,0,86,114,34,1,13,18,3.56
mannija01,1877,CIN,NL,10,0,4,4,2,0,1,44,83,34,1,7,6,6.95
larkite01,1877,HAR,NL,56,29,25,56,55,4,0,501,510,119,2,53,96,2.14
fergubo01,1877,HAR,NL,3,1,1,2,2,0,0,25,38,11,0,2,1,3.96
cassijo01,1877,HAR,NL,2,1,1,2,2,0,0,18,24,10,0,1,2,5
devliji01,1877,LOU,NL,61,35,25,61,61,4,0,559,617,140,4,41,141,2.25
nichotr01,1877,STL,NL,42,18,23,39,35,1,0,350,376,101,2,53,80,2.6
blongjo01,1877,STL,NL,25,10,9,21,17,0,0,187.3,203,57,0,38,51,2.74
battijo01,1877,STL,NL,1,0,0,0,0,0,0,3.7,3,2,0,1,1,4.91
bondto01,1878,BSN,NL,59,40,19,59,57,9,0,532.7,571,122,5,33,182,2.06
mannija01,1878,BSN,NL,3,1,0,1,1,0,0,11.3,24,18,1,5,2,14.29
larkite01,1878,CHC,NL,56,29,26,56,56,1,0,506,511,126,4,31,163,2.24
reisla01,1878,CHC,NL,4,1,3,4,4,0,0,36,55,13,0,4,8,3.25
hankifr01,1878,CHC,NL,1,0,1,1,1,0,0,9,11,6,0,0,4,6
whitewi01,1878,CIN,NL,52,30,21,52,52,5,0,468,477,93,1,45,169,1.79
mitchbo01,1878,CIN,NL,9,7,2,9,9,1,0,80,69,19,1,18,51,2.14
nolanth01,1878,IND,NL,38,13,22,38,37,1,0,347,357,99,1,56,125,2.57
mccorji01,1878,IND,NL,14,5,8,14,12,1,0,117,128,22,0,15,36,1.69
healeto01,1878,IND,NL,11,6,4,10,9,0,1,89,98,22,1,13,18,2.22
mckelru01,1878,IND,NL,4,0,2,1,1,0,0,25,38,6,1,3,3,2.16
weavesa01,1878,MLG,NL,45,12,31,43,39,1,0,383,371,83,2,21,95,1.95
goldemi01,1878,MLG,NL,22,3,13,18,15,0,0,161,217,74,1,33,52,4.14
ellicjo01,1878,MLG,NL,1,0,1,0,0,0,0,3,1,1,0,1,0,3
wardjo01,1878,PRO,NL,37,22,13,37,37,6,0,334,308,56,3,34,116,1.51
nichotr01,1878,PRO,NL,11,4,7,10,10,0,0,98,157,46,0,8,21,4.22
wheelha01,1878,PRO,NL,7,6,1,6,6,0,0,62,70,24,1,25,25,3.48
healeto01,1878,PRO,NL,3,0,3,3,3,0,0,24,27,8,1,7,2,3
coreyfr01,1878,PRO,NL,5,1,2,5,2,0,0,23,22,6,0,7,7,2.35
fishech01,1878,PRO,NL,1,0,1,1,1,0,0,9,14,4,0,0,2,4
allisdo01,1878,PRO,NL,1,0,0,0,0,0,0,5,11,1,0,1,0,1.8
brownle01,1878,PRO,NL,1,0,0,0,0,0,0,1,0,2,0,4,0,18
healeto01,1878,TOT,NL,14,6,7,13,12,0,1,113,125,30,2,20,20,2.39
bondto01,1879,BSN,NL,64,43,19,64,59,11,0,555.3,543,121,8,24,155,1.96
foleycu01,1879,BSN,NL,21,9,9,16,16,1,0,161.7,175,45,1,15,57,2.51
tyngji01,1879,BSN,NL,3,1,2,3,3,0,0,27,35,15,0,6,7,5
richmle01,1879,BSN,NL,1,1,0,1,1,0,0,9,4,2,0,1,11,2
galvipu01,1879,BUF,NL,66,37,27,66,65,6,0,593,585,150,3,31,136,2.28
mcgunbi01,1879,BUF,NL,14,9,5,13,13,2,0,120,113,35,0,16,62,2.63
larkite01,1879,CHC,NL,58,31,23,58,57,4,0,513.3,514,139,5,30,142,2.44
hankifr01,1879,CHC,NL,26,15,10,25,25,2,0,230.7,248,64,0,27,69,2.5
whitewi01,1879,CIN,NL,76,43,31,75,75,4,0,680,676,150,10,68,232,1.99
purcebl01,1879,CIN,NL,2,0,2,2,2,0,0,18,27,8,0,2,3,4
mcveyca01,1879,CIN,NL,3,0,2,1,1,0,0,14,34,13,1,2,7,8.36
neaglja01,1879,CIN,NL,2,0,1,2,1,0,0,13,13,5,0,5,4,3.46
wheelha01,1879,CIN,NL,1,0,1,1,0,0,0,1,6,9,0,4,0,81
mccorji01,1879,CLV,NL,62,20,40,60,59,3,0,546.3,582,147,4,74,197,2.42
mitchbo01,1879,CLV,NL,23,7,15,22,20,0,0,194.7,236,71,0,42,90,3.28
wardjo01,1879,PRO,NL,70,47,19,60,58,2,1,587,571,140,5,36,239,2.15
mathebo01,1879,PRO,NL,27,12,6,25,15,1,1,189,194,48,4,26,90,2.29
mccorha01,1879,SYR,NL,54,18,33,54,49,5,0,457.3,517,152,3,31,96,2.99
purcebl01,1879,SYR,NL,22,4,15,17,15,0,0,179.7,245,75,1,19,28,3.76
dorgami01,1879,SYR,NL,2,0,0,0,0,0,0,12,13,3,0,2,8,2.25
purcebl01,1879,TOT,NL,24,4,17,19,17,0,0,197.7,272,83,1,21,31,3.78
bradlge01,1879,TRO,NL,54,13,40,54,53,3,0,487,590,154,12,26,133,2.85
salisha01,1879,TRO,NL,10,4,6,10,9,0,0,89,103,22,0,11,31,2.22
goldsfr01,1879,TRO,NL,8,2,4,7,7,0,0,63,61,11,0,1,31,1.57
mcmanpa01,1879,TRO,NL,2,0,2,2,2,0,0,21,24,7,1,1,6,3
broutda01,1879,TRO,NL,3,0,2,2,2,0,0,21,35,13,0,8,6,5.57
gardngi01,1879,TRO,NL,2,0,2,2,2,0,0,14,27,9,0,0,3,5.79
bondto01,1880,BSN,NL,63,26,29,57,49,3,0,493,559,146,1,45,118,2.67
foleycu01,1880,BSN,NL,36,14,14,28,21,1,0,238,264,103,1,40,68,3.89
morrijo01,1880,BSN,NL,3,0,0,0,0,0,0,10.7,9,1,0,1,0,0.84
learyja01,1880,BSN,NL,1,0,1,1,0,0,0,3,8,5,0,0,1,15
galvipu01,1880,BUF,NL,58,20,35,54,46,5,0,458.7,528,138,5,32,128,2.71
wiedmst01,1880,BUF,NL,17,0,9,13,9,0,0,113.7,141,43,1,9,25,3.4
poormto01,1880,BUF,NL,11,1,8,9,9,0,1,85,117,39,3,19,13,4.13
driscde01,1880,BUF,NL,6,1,3,4,4,0,0,41.7,48,18,1,9,17,3.89
mcgunbi01,1880,BUF,NL,5,2,3,5,4,1,0,37,43,14,0,8,3,3.41
hornujo01,1880,BUF,NL,1,0,0,0,0,0,0,3,2,2,0,1,0,6
corcola01,1880,CHC,NL,63,43,14,60,57,4,2,536.3,404,116,6,99,268,1.95
goldsfr01,1880,CHC,NL,26,21,3,24,22,4,1,210.3,189,41,2,18,90,1.75
poormto01,1880,CHC,NL,2,2,0,1,0,0,0,15,12,4,0,8,0,2.4
guthch01,1880,CHC,NL,1,1,0,1,1,0,0,9,12,5,0,1,7,5
kellyki01,1880,CHC,NL,1,0,0,0,0,0,0,3,3,0,0,1,1,0
burnsto01,1880,CHC,NL,1,0,0,0,0,0,0,1.3,2,0,0,2,1,0
whitewi01,1880,CIN,NL,62,18,42,62,58,3,0,517.3,550,123,9,56,161,2.14
purcebl01,1880,CIN,NL,25,3,17,21,21,0,0,196,235,70,1,32,47,3.21
mccorji01,1880,CLV,NL,74,45,28,74,72,7,0,657.7,585,135,2,75,260,1.85
gardngi01,1880,CLV,NL,9,1,8,9,9,0,0,77,80,22,2,20,21,2.57
hankifr01,1880,CLV,NL,4,1,1,2,2,0,1,25,20,3,0,3,8,1.08
wardjo01,1880,PRO,NL,70,39,24,67,59,8,1,595,501,115,5,45,230,1.74
bradlge01,1880,PRO,NL,28,13,8,20,16,4,1,196,158,30,2,6,54,1.38
dorgami01,1880,PRO,NL,1,0,0,0,0,0,0,8,4,1,0,0,2,1.13
poormto01,1880,TOT,NL,13,3,8,10,9,0,1,100,129,43,3,27,13,3.87
welchmi01,1880,TRO,NL,65,34,30,64,64,4,0,574,575,162,7,80,123,2.54
keefeti01,1880,TRO,NL,12,6,6,12,12,0,0,105,71,10,0,17,43,0.86
larkite01,1880,TRO,NL,5,0,5,5,3,0,0,38,83,37,1,10,5,8.76
mountfr01,1880,TRO,NL,2,1,1,2,2,0,0,17,23,10,0,6,2,5.29
evansja01,1880,TRO,NL,1,0,0,0,0,0,0,4,11,6,0,0,0,13.5
richmle01,1880,WOR,NL,74,32,32,66,57,5,3,590.7,541,141,7,74,243,2.15
coreyfr01,1880,WOR,NL,25,8,9,17,9,2,2,148.3,131,40,6,16,47,2.43
nichotr01,1880,WOR,NL,2,0,2,2,2,0,0,17.7,29,8,0,4,4,4.08
stoveha01,1880,WOR,NL,2,0,0,0,0,0,0,6,8,3,0,3,3,4.5
whitnji01,1881,BSN,NL,66,31,33,63,57,6,0,552.3,548,152,6,90,162,2.48
foxjo01,1881,BSN,NL,17,6,8,16,12,0,0,124.3,144,46,0,39,30,3.33
bondto01,1881,BSN,NL,3,0,3,3,2,0,0,25.3,40,12,3,2,2,4.26
mathebo01,1881,BSN,NL,5,1,0,1,1,0,2,23,22,6,0,11,5,2.35
morrijo01,1881,BSN,NL,3,0,1,0,0,0,1,5.7,9,4,0,1,0,6.35
galvipu01,1881,BUF,NL,56,28,24,53,48,5,0,474,546,125,4,46,136,2.37
lynchja01,1881,BUF,NL,20,10,9,19,17,0,0,165.7,203,66,2,29,32,3.59
purcebl01,1881,BUF,NL,9,4,1,5,5,0,0,61.7,62,19,2,9,15,2.77
foleycu01,1881,BUF,NL,10,3,4,6,2,0,0,41,70,24,1,5,2,5.27
corcola01,1881,CHC,NL,45,31,14,44,43,4,0,396.7,380,102,10,78,150,2.31
goldsfr01,1881,CHC,NL,39,24,13,39,37,5,0,330,328,95,4,44,76,2.59
willine01,1881,CHC,NL,3,1,1,1,1,0,0,18,14,4,0,0,2,2
mccorji01,1881,CLV,NL,59,26,30,58,57,2,0,526,484,143,4,84,178,2.45
nolanth01,1881,CLV,NL,22,8,14,21,20,0,0,180,183,61,3,38,54,3.05
bradlge01,1881,CLV,NL,6,2,4,6,5,0,0,51,70,22,2,3,6,3.88
taylobi01,1881,CLV,NL,1,0,0,0,0,0,0,3,0,0,0,1,2,0
derbyge01,1881,DTN,NL,56,29,26,55,55,9,0,494.7,505,121,3,86,212,2.2
wiedmst01,1881,DTN,NL,13,8,5,13,13,1,0,115,108,23,1,12,26,1.8
mountfr01,1881,DTN,NL,7,3,4,7,7,0,0,60,80,35,2,18,13,5.25
mullato01,1881,DTN,NL,5,1,4,5,5,0,0,44,55,24,2,17,7,4.91
whitewi01,1881,DTN,NL,2,0,2,2,2,0,0,18,24,10,0,2,5,5
learyja01,1881,DTN,NL,2,0,2,2,1,0,0,13,13,6,0,2,2,4.15
wardjo01,1881,PRO,NL,39,18,18,35,32,3,0,330,326,78,2,53,119,2.13
radboch01,1881,PRO,NL,41,25,11,36,34,3,0,325.3,309,88,1,64,117,2.43
mathebo01,1881,PRO,NL,14,4,8,14,10,1,0,102.3,121,36,2,21,28,3.17
mathebo01,1881,TOT,NL,19,5,8,15,11,1,2,125.3,143,42,2,32,33,3.02
taylobi01,1881,TOT,NL,2,0,1,1,1,0,0,11,15,7,0,7,2,5.73
keefeti01,1881,TRO,NL,45,18,27,45,45,4,0,402,442,145,4,81,103,3.25
welchmi01,1881,TRO,NL,40,21,18,40,40,4,0,368,371,109,7,78,104,2.67
richmle01,1881,WOR,NL,53,25,26,52,50,3,0,462.3,547,174,7,68,156,3.39
coreyfr01,1881,WOR,NL,23,6,15,21,20,1,0,188.7,231,78,3,31,33,3.72
mccorha01,1881,WOR,NL,9,1,8,9,9,1,0,78.3,89,31,1,15,7,3.56
taylobi01,1881,WOR,NL,1,0,1,1,1,0,0,8,15,7,0,6,0,7.88
landido01,1882,BAL,AA,42,11,27,39,35,0,0,341,409,126,7,46,62,3.33
nichotr01,1882,BAL,AA,16,1,12,13,12,0,0,118.3,155,66,2,17,21,5.02
geisem01,1882,BAL,AA,13,4,9,13,10,1,0,95.6,84,51,2,22,10,4.8
wisebi01,1882,BAL,AA,3,1,2,3,3,0,0,26,30,8,1,4,9,2.77
myershe01,1882,BAL,AA,6,0,2,2,1,0,0,26,30,19,2,4,7,6.58
learyja01,1882,BAL,AA,3,2,1,3,3,0,0,26,29,4,1,8,2,1.38
brownto01,1882,BAL,AA,2,0,0,0,0,0,0,8.3,13,1,0,6,2,1.08
russjo01,1882,BAL,AA,1,0,1,1,0,0,0,5,10,4,0,1,0,7.2
whitnji01,1882,BSN,NL,49,24,21,48,46,3,0,420,404,123,3,41,180,2.64
mathebo01,1882,BSN,NL,34,19,15,32,31,0,0,285,278,91,5,22,153,2.87
buffich01,1882,BSN,NL,5,2,3,5,4,1,0,42,53,19,2,14,17,4.07
morrijo01,1882,BSN,NL,1,0,0,0,0,0,0,2,3,0,0,0,2,0
galvipu01,1882,BUF,NL,52,28,23,51,48,3,0,445.3,476,157,8,40,162,3.17
dailyhu01,1882,BUF,NL,29,15,14,29,29,0,0,255.7,246,85,6,70,116,2.99
purcebl01,1882,BUF,NL,6,2,1,3,2,0,0,31,44,17,2,4,9,4.94
burkeja01,1882,BUF,NL,1,0,1,1,0,0,0,4,10,5,0,0,0,11.25
foleycu01,1882,BUF,NL,1,0,0,0,0,0,0,1,2,2,0,0,0,18
goldsfr01,1882,CHC,NL,45,28,17,45,45,4,0,405,377,109,7,38,109,2.42
corcola01,1882,CHC,NL,39,27,12,39,38,3,0,355.7,281,77,5,63,170,1.95
willine01,1882,CHC,NL,1,0,0,0,0,0,0,3,9,2,1,1,0,6
whitewi01,1882,CIN,AA,54,40,12,54,52,8,0,480,411,82,3,71,122,1.54
mccorha01,1882,CIN,AA,25,14,11,25,24,3,0,219.6,177,37,4,42,33,1.52
wheelha01,1882,CIN,AA,4,1,2,1,1,0,0,21.6,21,13,0,12,10,5.4
mccorji01,1882,CLV,NL,68,36,30,67,65,4,0,595.7,550,157,14,103,200,2.37
bradlge01,1882,CLV,NL,18,6,9,16,15,0,0,147,164,61,5,22,32,3.73
roweda01,1882,CLV,NL,1,0,1,1,1,0,0,9,29,12,3,7,0,12
wiedmst01,1882,DTN,NL,46,25,20,45,43,4,0,411,391,120,10,39,161,2.63
derbyge01,1882,DTN,NL,40,17,20,39,38,3,0,362,386,131,8,81,182,3.26
whitnar01,1882,DTN,NL,3,0,1,2,1,0,0,18,31,12,1,8,11,6
robinya01,1882,DTN,NL,1,0,0,0,0,0,0,2,0,0,0,1,0,0
mullato01,1882,LOU,AA,55,30,24,55,51,5,0,460.3,418,96,4,78,170,1.88
heckegu01,1882,LOU,AA,13,6,6,11,10,0,0,104,75,15,0,5,33,1.3
reccijo01,1882,LOU,AA,13,4,6,10,9,1,0,95,106,32,3,22,31,3.03
bohnch01,1882,LOU,AA,2,1,1,2,2,0,0,18,21,6,0,3,1,3
schenbi01,1882,LOU,AA,2,1,0,1,1,0,0,10,6,1,0,1,4,0.9
wolfji01,1882,LOU,AA,1,0,0,0,0,0,0,6,11,6,0,3,1,9
weavesa01,1882,PHA,AA,42,26,15,41,41,2,0,371,374,113,6,35,104,2.74
sweenbi01,1882,PHA,AA,20,9,10,20,18,0,0,170,178,55,4,42,48,2.91
mountfr01,1882,PHA,AA,8,2,6,8,8,0,0,69,72,30,1,11,15,3.91
landido01,1882,PHA,AA,2,1,1,2,2,0,0,17,16,6,1,1,13,3.18
reynoch01,1882,PHA,AA,2,1,1,2,1,0,0,12,18,7,0,3,4,5.25
snydege01,1882,PHA,AA,1,1,0,1,1,0,0,9,4,0,0,2,0,0
halbred01,1882,PHA,AA,1,0,1,1,1,0,0,8,17,7,1,4,4,7.88
striccu01,1882,PHA,AA,2,1,0,0,0,0,0,7,3,1,0,1,2,1.29
salisha01,1882,PIT,AA,38,20,18,38,38,1,0,335,315,98,1,37,135,2.63
driscde01,1882,PIT,AA,23,13,9,23,23,0,0,201,162,27,0,12,59,1.21
arundha01,1882,PIT,AA,14,4,10,14,13,0,0,120,155,62,3,23,47,4.65
learyja01,1882,PIT,AA,3,1,0,2,1,0,0,18.6,28,13,0,3,5,6.27
critcmo01,1882,PIT,AA,1,1,0,1,1,1,0,9,7,0,0,1,3,0
seymoja01,1882,PIT,AA,1,0,1,1,1,0,0,8,16,7,0,2,2,7.88
taylobi01,1882,PIT,AA,1,0,1,0,0,0,0,5,11,9,0,4,1,16.2
radboch01,1882,PRO,NL,55,33,20,52,51,6,0,474,429,110,6,51,201,2.09
wardjo01,1882,PRO,NL,33,19,12,32,29,4,1,278,261,80,6,36,72,2.59
mcginju01,1882,STL,AA,45,25,18,45,43,3,0,388.3,391,112,2,53,134,2.6
schapjo01,1882,STL,AA,15,8,7,14,13,0,0,128,131,50,2,32,38,3.52
dorrbe01,1882,STL,AA,8,2,6,8,8,0,0,66,53,19,0,1,34,2.59
critcmo01,1882,STL,AA,4,0,4,4,4,0,0,34,43,16,3,7,2,4.24
doylejo02,1882,STL,AA,3,0,3,3,3,0,0,24,41,7,0,3,5,2.63
fusseed01,1882,STL,AA,4,1,2,2,2,0,1,23,34,12,0,2,3,4.7
comisch01,1882,STL,AA,2,0,1,1,1,0,0,8,12,0,0,3,2,0
hoganed01,1882,STL,AA,1,0,1,1,1,0,0,8,10,1,0,0,4,1.13
mitchbo01,1882,STL,AA,1,0,1,1,0,0,0,7,12,6,0,2,2,7.71
browned01,1882,STL,AA,1,0,0,0,0,0,0,2,2,0,0,0,1,0
landido01,1882,TOT,AA,44,12,28,41,37,0,0,358,425,132,8,47,75,3.32
mountfr01,1882,TOT,ZZ,21,4,17,21,19,0,0,171,210,75,5,35,39,3.95
learyja01,1882,TOT,AA,6,3,1,5,4,0,0,44.7,57,17,1,11,7,3.42
critcmo01,1882,TOT,AA,5,1,4,5,5,1,0,43,50,16,3,8,5,3.35
keefeti01,1882,TRO,NL,43,17,26,42,41,1,0,375,368,104,4,81,116,2.5
welchmi01,1882,TRO,NL,33,14,16,33,30,5,0,281,334,108,7,62,53,3.46
eganji01,1882,TRO,NL,12,4,6,10,10,0,0,100,133,46,2,24,20,4.14
ewingbu01,1882,TRO,NL,1,0,0,0,0,0,0,1,2,1,0,1,0,9
richmle01,1882,WOR,NL,48,14,33,46,44,0,0,411,525,171,11,88,123,3.74
coreyfr01,1882,WOR,NL,21,1,13,14,12,0,0,139,180,55,5,19,36,3.56
mountfr01,1882,WOR,NL,13,2,11,13,11,0,0,102,138,45,4,24,24,3.97
clarkjo01,1882,WOR,NL,3,1,2,3,2,0,0,24,49,12,0,2,3,4.5
bondto01,1882,WOR,NL,2,0,1,2,0,0,0,12.3,12,6,0,7,2,4.38
evansja01,1882,WOR,NL,1,0,1,1,1,0,0,8,13,5,1,0,2,5.63
hendeha01,1883,BAL,AA,45,10,32,42,38,0,0,358.3,383,160,4,87,145,4.02
emslibo01,1883,BAL,AA,24,9,13,23,21,1,0,201.3,188,71,3,41,62,3.17
foxjo01,1883,BAL,AA,20,6,13,19,18,0,0,165.3,209,74,2,32,49,4.03
gallabi01,1883,BAL,AA,7,0,5,5,4,0,0,51.6,79,31,0,6,19,5.4
neaglja01,1883,BAL,AA,6,1,4,5,4,0,0,46,48,25,1,20,9,4.89
devinji01,1883,BAL,AA,2,1,1,2,1,0,0,11,15,9,0,1,3,7.36
gardngi01,1883,BAL,AA,2,1,0,0,0,0,0,7,9,4,1,1,2,5.14
roweda01,1883,BAL,AA,1,0,0,0,0,0,0,4,12,9,1,2,1,20.25
whitnji01,1883,BSN,NL,62,37,21,56,54,1,2,514,492,128,7,35,345,2.24
buffich01,1883,BSN,NL,43,25,14,41,34,4,1,333,346,112,4,51,188,3.03
morrijo01,1883,BSN,NL,2,1,0,1,1,0,0,13,15,4,0,4,5,2.77
galvipu01,1883,BUF,NL,76,46,29,75,72,5,0,656.3,676,198,9,50,279,2.72
derbyge01,1883,BUF,NL,14,2,10,13,12,0,1,107.7,173,70,3,15,34,5.85
cushmed01,1883,BUF,NL,7,3,3,7,5,0,0,50.3,61,22,0,17,34,3.93
haganar01,1883,BUF,NL,2,0,2,2,1,0,0,15,17,6,0,6,7,3.6
lilliji01,1883,BUF,NL,3,0,1,0,0,0,0,12,16,4,0,2,4,3
burkeja01,1883,BUF,NL,1,0,0,1,0,0,0,8,9,5,0,3,1,5.63
o'rouji01,1883,BUF,NL,2,0,0,0,0,0,1,7,10,5,0,1,1,6.43
broutda01,1883,BUF,NL,1,0,0,0,0,0,0,2,9,7,0,3,2,31.5
foleycu01,1883,BUF,NL,1,1,0,0,0,0,0,1,0,0,0,4,0,0
corcola01,1883,CHC,NL,56,34,20,53,51,3,0,473.7,483,131,7,82,216,2.49
goldsfr01,1883,CHC,NL,46,25,19,45,40,2,0,383.3,456,134,14,39,82,3.15
ansonca01,1883,CHC,NL,2,0,0,0,0,0,1,3,1,0,0,1,0,0
willine01,1883,CHC,NL,1,0,0,0,0,0,0,1,1,1,0,1,1,9
kellyki01,1883,CHC,NL,1,0,0,0,0,0,0,1,1,0,0,0,0,0
whitewi01,1883,CIN,AA,65,43,22,64,64,6,0,577,473,134,16,104,141,2.09
deaglre01,1883,CIN,AA,18,10,8,18,17,1,0,148,136,38,0,34,48,2.31
mccorha01,1883,CIN,AA,15,8,6,15,14,1,0,128.6,139,41,1,27,21,2.87
mountbi01,1883,CIN,AA,1,0,1,1,1,0,0,8,9,2,0,2,3,2.25
sommejo01,1883,CIN,AA,1,0,0,0,0,0,0,5,9,3,0,1,2,5.4
dailyhu01,1883,CLV,NL,45,23,19,43,40,4,1,378.7,360,102,5,99,171,2.42
mccorji01,1883,CLV,NL,43,28,12,41,36,1,1,342,316,70,1,65,145,1.84
sawyewi01,1883,CLV,NL,17,4,10,15,15,0,0,141,119,37,1,47,76,2.36
cadych01,1883,CLV,NL,1,0,1,1,1,0,0,8,13,7,0,4,5,7.88
huntele01,1883,CLV,NL,1,0,0,0,0,0,0,6.3,10,1,0,2,4,1.42
evansja01,1883,CLV,NL,1,0,0,0,0,0,0,3,0,0,0,0,1,0
mountfr01,1883,COL,AA,59,26,33,59,57,4,0,503,546,201,8,123,159,3.6
dundoed01,1883,COL,AA,20,3,16,19,16,0,0,166.6,213,83,7,38,31,4.48
valenjo01,1883,COL,AA,13,2,10,12,11,0,0,102,130,40,0,17,13,3.53
friespe01,1883,COL,AA,3,0,3,3,3,0,0,25,34,18,1,14,7,6.48
mcintfr01,1883,COL,AA,2,1,1,2,2,0,0,19,20,11,0,7,6,5.21
brownto01,1883,COL,AA,3,0,1,1,1,0,0,14,14,9,0,10,6,5.79
smithpo01,1883,COL,AA,3,0,0,0,0,0,0,5.6,10,4,0,0,0,6.35
wheelha01,1883,COL,AA,1,0,1,1,0,0,0,5,13,4,0,2,0,7.2
wiedmst01,1883,DTN,NL,52,20,24,47,41,3,2,402.3,435,158,8,72,183,3.53
shawdu01,1883,DTN,NL,26,10,15,25,23,1,0,227,238,63,3,44,73,2.5
burnsdi01,1883,DTN,NL,17,2,12,13,13,0,0,127.7,172,64,8,33,30,4.51
jonesja02,1883,DTN,NL,12,6,5,12,9,1,0,92.7,103,36,0,19,33,3.5
radboge01,1883,DTN,NL,3,1,2,3,2,0,0,22,38,16,1,7,2,6.55
mcintfr01,1883,DTN,NL,1,1,0,1,1,0,0,11,11,1,0,1,0,0.82
manseto01,1883,DTN,NL,1,0,0,0,0,0,0,6.7,21,14,2,5,3,18.9
woodge01,1883,DTN,NL,1,0,0,0,0,0,0,5,8,4,0,3,0,7.2
heckegu01,1883,LOU,AA,51,26,23,50,49,3,0,451,509,167,4,72,153,3.33
weavesa01,1883,LOU,AA,48,26,22,48,47,4,0,418.6,468,172,3,38,116,3.7
reccijo01,1883,LOU,AA,1,0,0,0,0,0,0,4,10,1,0,0,0,2.25
