LahmanID,Year,Team,Lg,G,W,L,GS,CG,SH,SV,IP,H,ER,HR,BB,SO,ERA
knighlo01,1876,ATH,NL,34,10,22,32,27,0,0,282,383,82,0,34,12,2.62
zettlge01,1876,ATH,NL,28,4,20,25,23,1,2,234,358,101,2,6,10,3.88
meyerle01,1876,ATH,NL,2,0,2,2,2,0,0,18,28,10,0,1,0,5
laffefl01,1876,ATH,NL,1,0,1,1,1,0,0,9,5,0,0,0,0,0
coonwi01,1876,ATH,NL,2,0,0,0,0,0,0,7,9,4,0,0,0,5.14
bordejo01,1876,BSN,NL,29,11,12,24,16,2,1,218.3,257,70,4,51,34,2.89
mannija01,1876,BSN,NL,34,18,5,20,13,0,5,197.3,213,47,1,32,24,2.14
bradlfo01,1876,BSN,NL,22,9,10,21,16,1,1,173.3,201,48,1,16,16,2.49
mcbridi01,1876,BSN,NL,4,0,4,4,3,0,0,33,53,10,1,5,2,2.73
nichotr01,1876,BSN,NL,1,1,0,1,1,0,0,9,7,1,0,0,0,1
wrighge01,1876,BSN,NL,1,0,0,0,0,0,0,1,1,0,0,0,1,0
spaldal01,1876,CHC,NL,61,47,12,60,53,8,0,528.7,542,103,6,26,39,1.75
mcveyca01,1876,CHC,NL,11,5,2,6,5,0,2,59.3,57,10,0,2,9,1.52
whitede01,1876,CHC,NL,1,0,0,0,0,0,1,2,1,0,0,0,3,0
barnero01,1876,CHC,NL,1,0,0,0,0,0,0,1.3,7,3,0,0,0,20.25
peterjo01,1876,CHC,NL,1,0,0,0,0,0,1,1,1,0,0,1,0,0
deando01,1876,CIN,NL,30,4,26,30,26,0,0,262.7,397,109,1,24,22,3.73
fishech01,1876,CIN,NL,28,4,20,24,22,0,0,229.3,294,77,6,6,29,3.02
willida01,1876,CIN,NL,9,1,8,9,9,0,0,83,123,39,1,4,9,4.23
bootham01,1876,CIN,NL,3,0,1,1,0,0,0,9.7,22,10,0,0,0,9.31
gouldch01,1876,CIN,NL,2,0,0,0,0,0,0,4.3,10,0,0,0,0,0
clackbo01,1876,CIN,NL,1,0,0,0,0,0,0,2,2,1,0,0,0,4.5
piersda01,1876,CIN,NL,1,0,1,1,0,0,0,0,2,0,1,0,0,0
bondto01,1876,HAR,NL,45,31,13,45,45,6,0,408,355,76,2,13,88,1.68
cummica01,1876,HAR,NL,24,16,8,24,24,5,0,216,215,40,0,14,26,1.67
devliji01,1876,LOU,NL,68,30,35,68,66,5,0,622,566,108,3,37,122,1.56
clintji01,1876,LOU,NL,1,0,1,1,1,0,0,9,12,6,0,0,1,6
ryanjo01,1876,LOU,NL,1,0,0,0,0,0,0,8,22,5,0,0,1,5.63
pearcfr01,1876,LOU,NL,1,0,0,0,0,0,0,4,5,2,0,1,1,4.5
mathebo01,1876,NYU,NL,56,21,34,56,55,2,0,516,693,164,8,24,37,2.86
larkite01,1876,NYU,NL,1,0,1,1,1,0,0,9,9,3,0,0,0,3
boothed01,1876,NYU,NL,1,0,0,0,0,0,0,5,16,6,0,0,0,10.8
bradlge01,1876,STL,NL,64,45,19,64,63,16,0,573,470,78,3,38,103,1.23
blongjo01,1876,STL,NL,1,0,0,0,0,0,0,4,2,0,0,1,0,0
bondto01,1877,BSN,NL,58,40,17,58,58,6,0,521,530,122,5,36,170,2.11
whitewi01,1877,BSN,NL,3,2,1,3,3,1,0,27,27,9,0,2,7,3
bradlge01,1877,CHC,NL,50,18,23,44,35,2,0,394,452,145,4,39,59,3.31
mcveyca01,1877,CHC,NL,17,4,8,10,6,0,2,92,129,46,2,11,20,4.5
reisla01,1877,CHC,NL,4,3,1,4,4,1,0,36,29,3,1,6,11,0.75
spaldal01,1877,CHC,NL,4,1,0,1,0,0,1,11,17,4,0,0,2,3.27
roweda01,1877,CHC,NL,1,0,1,1,0,0,0,1,3,2,0,2,0,18
cummica01,1877,CIN,NL,19,5,14,19,16,0,0,155.7,219,75,2,13,11,4.34
mathebo01,1877,CIN,NL,15,3,12,15,13,0,0,129.3,208,58,0,17,9,4.04
